epo: 221, rat: 1.00e-02, err: 6.56e-01, obj: 1.14e+00, dat: 4.75e-02, fpp: 1.61e+00, bpp: 1.50e+00, upd: 3.97e-03, val_err:6.02e-01
epo: 223, rat: 1.00e-02, err: 5.39e-01, obj: 1.08e+00, dat: 1.41e-01, fpp: 1.61e+00, bpp: 1.50e+00, upd: 3.91e-03, val_err:6.25e-01
epo: 225, rat: 1.00e-02, err: 5.62e-01, obj: 1.06e+00, dat: 1.34e-01, fpp: 1.61e+00, bpp: 1.40e+00, upd: 3.98e-03, val_err:6.49e-01
epo: 227, rat: 1.00e-02, err: 6.17e-01, obj: 1.08e+00, dat: 1.37e-01, fpp: 1.49e+00, bpp: 1.51e+00, upd: 3.90e-03, val_err:6.12e-01
epo: 229, rat: 1.00e-02, err: 5.94e-01, obj: 1.06e+00, dat: 1.31e-01, fpp: 1.62e+00, bpp: 1.50e+00, upd: 3.92e-03, val_err:6.45e-01
epo: 231, rat: 1.00e-02, err: 5.39e-01, obj: 1.05e+00, dat: 1.36e-01, fpp: 1.61e+00, bpp: 1.40e+00, upd: 4.01e-03, val_err:6.24e-01
epo: 233, rat: 1.00e-02, err: 5.47e-01, obj: 1.08e+00, dat: 1.31e-01, fpp: 1.49e+00, bpp: 1.51e+00, upd: 3.93e-03, val_err:6.07e-01
epo: 235, rat: 1.00e-02, err: 5.94e-01, obj: 1.10e+00, dat: 1.30e-01, fpp: 1.62e+00, bpp: 1.50e+00, upd: 3.92e-03, val_err:6.42e-01
epo: 237, rat: 1.00e-02, err: 6.48e-01, obj: 1.12e+00, dat: 1.33e-01, fpp: 1.61e+00, bpp: 1.50e+00, upd: 4.09e-03, val_err:6.12e-01
epo: 239, rat: 1.00e-02, err: 7.42e-01, obj: 1.14e+00, dat: 1.41e-01, fpp: 1.52e+00, bpp: 1.54e+00, upd: 3.92e-03, val_err:6.12e-01
epo: 241, rat: 1.00e-02, err: 5.78e-01, obj: 1.10e+00, dat: 1.32e-01, fpp: 1.50e+00, bpp: 1.50e+00, upd: 3.95e-03, val_err:6.51e-01
epo: 243, rat: 1.00e-02, err: 5.78e-01, obj: 1.07e+00, dat: 1.27e-01, fpp: 1.61e+00, bpp: 1.50e+00, upd: 3.95e-03, val_err:6.40e-01
epo: 245, rat: 1.00e-02, err: 6.80e-01, obj: 1.11e+00, dat: 2.13e-01, fpp: 1.60e+00, bpp: 1.39e+00, upd: 4.00e-03, val_err:6.57e-01
epo: 247, rat: 1.00e-02, err: 5.55e-01, obj: 1.08e+00, dat: 1.33e-01, fpp: 1.50e+00, bpp: 1.51e+00, upd: 4.06e-03, val_err:6.27e-01
epo: 249, rat: 1.00e-02, err: 5.62e-01, obj: 1.05e+00, dat: 1.33e-01, fpp: 1.61e+00, bpp: 1.54e+00, upd: 3.88e-03, val_err:6.43e-01
